"year","grid_pt","last_snow","snowmelt","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"2010","53",180,187,183.5,201.735445988099,0.611409167298716,158.659860437415,244.719687866422
"2010","54",180,187,183.5,205.901611451539,0.606620475828838,163.061929814853,248.658673193169
"2010","55",187,194,190.5,219.79159083542,0.610794376553877,176.930361409108,262.465028732992
"2010","56",187,194,190.5,218.853440471089,0.607237597684053,176.009717812748,261.602370276749
"2010","57",166,173,169.5,164.737005888072,0.599299470680784,122.675260569291,206.90628402539
"2010","58",166,173,169.5,162.091267521191,0.604746598639022,119.189200149735,204.138042430878
"2010","59",166,173,169.5,147.074265370092,0.606656063945564,104.438560715041,190.038758624364
"2010","60",166,173,169.5,150.938623160137,0.601003814324474,108.676456515311,193.432405964636
"2010","61",166,173,169.5,164.74482351472,0.605768898672675,122.200946926061,207.38748325547
"2010","62",173,180,176.5,192.691774300086,0.601807246642122,150.695224131496,234.813394086415
"2010","63",180,187,183.5,203.251322781688,0.604402255794786,161.203270787,245.756611817465
"2010","64",166,173,169.5,183.245213336732,0.601234993852693,141.04551606814,225.281598120836
"2010","65",194,201,197.5,221.441146650124,0.608597107862424,178.86932670994,264.445499938252
"2010","66",187,194,190.5,217.810457099671,0.608493366709182,175.195364539162,260.402042134884
"2010","67",166,173,169.5,164.093803104381,0.603060310490172,122.085492704509,206.451978243691
"2010","68",166,173,169.5,158.327500519853,0.605940436773269,115.946590848296,201.068009397003
"2010","69",166,173,169.5,146.047545366793,0.602883582507928,103.605427272763,188.222044871239
"2010","70",166,173,169.5,141.193758078365,0.606830145817649,98.6208288047239,183.831507189036
"2010","71",166,173,167.481811713982,167.481811713982,0.598766756189031,125.626052784713,209.495062517162
"2010","72",166,173,169.5,183.453642800061,0.602947293722946,141.211157927352,225.893283232934
"2010","73",173,180,176.5,196.351531826376,0.603292371272912,153.865843952541,238.917410081977
"2010","74",187,194,190.5,208.687187906986,0.604011917037095,166.526108247041,251.359836855431
"2010","75",180,187,183.5,203.273783590656,0.604417554687302,160.83375723937,245.963931008801
"2010","76",180,187,183.5,205.721561887379,0.605443290596614,162.860122646482,248.006809738042
"2010","77",166,173,169.5,174.324366562106,0.599989384771708,132.349348701078,216.314519710732
"2010","78",166,173,169.5,144.918900778425,0.602974240603881,103.009242200147,187.891429899569
"2010","79",166,173,169.5,156.465177333662,0.597890156650939,114.308403828076,198.40483575624
"2010","80",166,173,169.5,156.498285383586,0.602890647034905,114.139304167309,198.626716613451
"2010","101",138,145,141.5,103.528663730714,0.603568207484423,61.038835753498,145.966066787343
"2010","201",138,145,141.5,105.224442642577,0.598811560384637,63.2332491170067,147.201443202707
"2010","301",138,145,141.5,119.658105494865,0.605079887557437,77.3447747808798,162.653970314624
"2010","401",138,145,141.5,120.036233579336,0.602660717188565,77.5883018679037,162.561951461644
"2010","501",138,145,141.5,124.258688672785,0.603702900765643,81.5596187508022,167.010873714763
"2010","601",166,173,169.5,120.53428913329,0.60347185179014,77.966924526881,162.87291221222
"2010","701",166,173,169.5,120.401441644177,0.603058171889878,78.0206946450834,162.583182957411
"2010","801",166,173,169.5,147.601529587962,0.600448434671085,105.315896410847,189.788743519329
"2011","1",186,192,189,192.623425698093,0.600520705411565,150.39437362327,234.659485209678
"2011","2",192,199,195.5,190.735742766049,0.600995517028837,148.491835232465,232.940671922737
"2011","3",192,199,195.5,188.774919773766,0.604176760438628,145.919928610767,230.760647174843
"2011","4",192,199,195.5,183.938702496923,0.600353213606335,141.677159805043,225.888545131043
"2011","5",192,199,195.5,185.325956659738,0.603761655835427,142.634396702309,227.872069602614
"2011","6",186,192,189,183.591338505906,0.602588520930915,140.990866935517,225.961502553672
"2011","7",172,179,175.5,165.427977193114,0.606445843354858,122.959417252092,208.225765773791
"2011","8",172,179,175.5,163.060876674309,0.601640823834509,120.390827733365,205.353005066753
"2011","9",134,158,146,160.597539756341,0.602607517256305,118.128439023003,202.938341648303
"2011","10",32,53,42.5,113.248677078694,0.607263855390843,70.6940544325624,155.984668461577
"2011","11",186,192,189,195.388754357354,0.605806445011656,152.919678188234,238.000429138404
"2011","12",192,199,195.5,191.187306417392,0.599190539903802,148.909744799803,233.204329869791
"2011","13",199,209,201.884526532851,201.884526532851,0.60214118877264,159.550172769276,244.235702532464
"2011","14",192,199,195.5,189.688847191253,0.601472462426179,147.5300305302,231.893097232218
"2011","15",186,192,189,185.853960772438,0.600066112053937,143.683730405058,227.912758746382
"2011","16",186,192,189,176.326083375565,0.604053952665624,133.797414748086,218.959469880656
"2011","17",172,179,175.5,167.649428555835,0.598541124399116,125.378288716535,209.746947324943
"2011","18",123,134,128.5,148.965836697667,0.605958011146504,106.269163066769,191.509916073334
"2011","19",123,134,128.5,143.071872926311,0.604111343348837,100.653156228882,185.517885962173
"2011","20",77,103,90,117.54989861085,0.604076238575963,75.3031229159516,160.074322085239
"2011","21",192,199,196.515019812033,196.515019812033,0.602084642785896,154.608768040652,239.083055248504
